abstract,role,variables
1,negative-acts items,F_q1_1 to F_q1_22
1,emotional-exhaustion items,F_q3_1 F_q3_2 F_q3_3 F_q3_6 F_q3_8 F_q3_13 F_q3_14 F_q3_16 F_q3_20
1,stored totals,F_fuxingxingwei_all F_qingganshuaijie
1,covariates,age A_q2 A_q5 A_q9 A_q10
2,SPS-6 items,D_q21_1 to D_q21_6
2,Kupperman items,B_q83 to B_q95
2,stored audit variables,D_shengchanlishousun_all B_weijuejingqizonghezheng_all B_wyjqzhz_fenji
2,routing variables,B_q75 to B_q81
2,covariates,age A_q2 A_q6 A_q9 A_q10 C_q8
3,work-family items,C_q50_1 to C_q50_14
3,stored outcomes,C_gzjt_all C_lizhiyiyuan_all
3,covariates,age A_q2 A_q6 A_q9 A_q10
