variable_name,node_id,domain,reverse_scored_for_network,source_min,source_max,analysis_min,analysis_max,transformation,analysis_direction
D_q22_1,ANX1,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_2,ANX2,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_3,ANX3,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_4,ANX4,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_5,ANX5,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_6,ANX6,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q22_7,ANX7,Anxiety,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_1,DEP1,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_2,DEP2,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_3,DEP3,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_4,DEP4,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_5,DEP5,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_6,DEP6,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_7,DEP7,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_8,DEP8,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q23_9,DEP9,Depression,FALSE,0,3,0,3,source value,higher = greater burden
D_q24_1,STR1,Stress,FALSE,0,4,0,4,source value,higher = greater burden
D_q24_2,STR2,Stress,FALSE,0,4,0,4,source value,higher = greater burden
D_q24_3,STR3,Stress,FALSE,0,4,0,4,source value,higher = greater burden
D_q24_4,STR4,Stress,TRUE,0,4,0,4,4 - source value,higher = greater burden
D_q24_5,STR5,Stress,TRUE,0,4,0,4,4 - source value,higher = greater burden
D_q24_6,STR6,Stress,FALSE,0,4,0,4,source value,higher = greater burden
D_q24_7,STR7,Stress,TRUE,0,4,0,4,4 - source value,higher = greater burden
D_q24_8,STR8,Stress,TRUE,0,4,0,4,4 - source value,higher = greater burden
D_q24_9,STR9,Stress,FALSE,0,4,0,4,source value,higher = greater burden
D_q24_10,STR10,Stress,FALSE,0,4,0,4,source value,higher = greater burden
F_q3_1,BO1,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_2,BO2,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_3,BO3,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_4,BO4,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_5,BO5,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_6,BO6,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_7,BO7,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_8,BO8,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_9,BO9,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_10,BO10,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_11,BO11,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_12,BO12,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_13,BO13,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_14,BO14,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_15,BO15,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_16,BO16,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_17,BO17,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_18,BO18,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_19,BO19,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_20,BO20,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
F_q3_21,BO21,Burnout,TRUE,0,6,0,6,6 - source value,higher = greater burden
F_q3_22,BO22,Burnout,FALSE,0,6,0,6,source value,higher = greater burden
G_q3_1,FAT1,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_2,FAT2,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_3,FAT3,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_4,FAT4,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_5,FAT5,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_6,FAT6,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_7,FAT7,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_8,FAT8,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_9,FAT9,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_10,FAT10,Fatigue,TRUE,0,1,0,1,1 - source value,higher = greater burden
G_q3_11,FAT11,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_12,FAT12,Fatigue,FALSE,0,1,0,1,source value,higher = greater burden
G_q3_13,FAT13,Fatigue,TRUE,0,1,0,1,1 - source value,higher = greater burden
G_q3_14,FAT14,Fatigue,TRUE,0,1,0,1,1 - source value,higher = greater burden
